Name,Geoloc,Pinned
George Mason University Open Catalog,"38.8314578, -77.31174709999999",
George School,"40.2133886, -74.9352905",
George Stevens Academy,"44.4135895, -68.5899103",
George Stone Technical,"30.4868371, -87.29014900000001",
George Washington Academy - UT,"40.7606608, -111.8939487",
George Washington University,"38.8997145, -77.0485992",
Georgetown,"38.9097057, -77.06535650000001",
Georgetown American University,"6.8066888, -58.1550773",
Georgetown College,"38.2070039, -84.5542847",
Georgetown ISD,"30.6461757, -97.6765157",
Georgetown Provisioning,"38.9076089, -77.07225849999999",
Georgetown University - Pre-College & Visiting Student Programs,"38.9076089, -77.07225849999999",
Georgetown University Catalog,"38.9076089, -77.07225849999999",
Georgetown University Non-matriculated,"38.9076089, -77.07225849999999",
Georgia Center for Civic Engagement,"32.1574351, -82.90712300000001",
Georgia Charter Schools,"33.8444646, -84.3712674",
Georgia Cyber Academy(M),"33.6157605, -84.4462336",
Georgia Cycling Association,Address not found,
Georgia Department of Corrections,"33.033526, -83.923517",
Georgia DOE - School and District Effectiveness,"32.1574351, -82.90712300000001",
Georgia Institute of Technology,"33.7779791, -84.3979638",
Georgia Leadership Collaborative,"32.1574351, -82.90712300000001",
Georgia Learns,Address not found,
Georgia Military College,"33.0789184, -83.22351689999999",
Georgia School of Orthodontics,"33.9455635, -84.12818159999999",
Georgia State Schools,"33.753068, -84.38528190000001",
Georgia State University,"33.753068, -84.38528190000001",
Georgia Tech,"33.7779791, -84.3979638",
Georgia Tech Research Institute,"33.7812708, -84.4002907",
Georgia Tech Scheller College of Business,"33.776421, -84.3877407",
Georgia Virtual,"32.1574351, -82.90712300000001",
Georgiana Bruce Kirby Preparatory School,"36.9875595, -122.0395944",
Geraldton Christian College,"-28.7519851, 114.6442671",
Gerando Falcões,"-23.4616725, -46.6538627",
German Academy of Digital Education,"18.999941, 72.8285757",
German Educare,"3.104934, 101.5926558",
Germantown Academy,"40.1372106, -75.2153517",
Get2College - Woodward Hines Education Foundation,"32.3332954, -90.14785320000001",
Getty Conservation Institute,Address not found,
Gettysburg Area School District,"39.80661449999999, -77.2405153",
GFA Consulting Group,"53.6478729, 10.1724622",
GFTD,Address not found,
Gideon Hausner Jewish Day School,"37.4131101, -122.1048052",
Gilbert L. Sena Charter HS,"35.0837601, -106.5265703",
Gilbert Public Schools,"33.3524209, -111.7018452",
Gilchrist,"29.6871128, -82.82097399999999",
Gilde Opleidingen,"51.2466465, 5.7135172",
Giles County Public Schools,"37.3132885, -80.6770787",
Gillette College,"44.2616642, -105.5072394",
Gilman School,"39.36024380000001, -76.6340677",
Giltner Public Schools,"40.7713056, -98.1557066",
Gimbalabs,Address not found,
Gimnasio Moderno,"4.6589052, -74.0554918",
GIPA,Address not found,
Girard Public Schools,"41.1539465, -80.7014662",
"Girl Talk, Inc.","35.9631627, -83.9185253",
Girls Inc. of Orange County,"33.7272705, -117.8426362",
Girls Who Code,Address not found,
Girls Who Invest,"40.7080058, -74.0090761",
GIWAS,"11.2801638, 7.417856999999999",
Glasgow Clyde College,"55.8864198, -4.3187535",
Glasgow Clyde College - Old,"55.8864198, -4.3187535",
Glasgow Life Communities,"55.85105979999999, -4.2452991",
Glasgow School of Art,"55.866147, -4.2636932",
Glasspaper Group,"59.9108262, 10.8094169",
Glen Oaks Community College,"41.8924364, -85.4968205",
Glen Rose ISD,"32.2547696, -97.7416703",
Glendale Community College,"34.16636, -118.2281216",
Glendale Elementary School District 40,"33.5442584, -112.1830462",
Glendale Union High School District,"33.5844729, -112.1191757",
Glendive Public Schools,"47.106401, -104.7107931",
Glendora Unified,"34.1568319, -117.8428651",
Glenn Adult Program,"39.516165, -122.2095762",
Glenwood High School,"39.687901, -89.690637",
GLICC,"35.63151089999999, 139.6490551",
Glidden-Ralston Community School District,"42.0614162, -94.7278688",
GLO Workforce,Address not found,
Global Academy,"51.5048305, -0.4273187",
Global Brigades,Address not found,
Global Centre for Pluralism,"45.430506, -75.69887039999999",
Global Certification Programs,Address not found,
Global Impact STEM Academy,"39.9159856, -83.8084447",
Global Issues Network,Address not found,
Global Leadership Academy,"-34.0353328, 24.8918277",
Global Medical & Technical Training Institute,"25.779597, -80.225291",
Global Online Academy,Address not found,
Global Open Campus University,"19.4116824, -99.16483769999999",
Global Personalized Academics,"28.4493011, -81.4815002",
Global Programs and Innovation,Address not found,
Global Scholars,"44.0431683, -123.0672062",
Global Studies University,"25.3526091, 55.3950561",
Global Talent,"43.5729578, -116.2242745",
Global Town School,"40.1191818, -83.0144292",
Global XR Academy,"38.22260259999999, -85.6736462",
Globalskolen,"62.1499327, 6.0796339",
Globus Medical,Address not found,
Gloucester County Public Schools,"37.4128281, -76.5025742",
GMAC Kaplan,Address not found,
GMDP Academy,Address not found,
GO2 for Lung Cancer,Address not found,
Goal Academy,"35.1758182, -84.8646663",
GOAL Digital Academy,"40.767017, -82.5444546",
GOCSD,Address not found,
GOD Academics,Address not found,
Godley Independent School District,"32.4455751, -97.56805949999999",
Gods Bible School and College,"39.1157219, -84.5055938",
Goethe Business School,"50.127291, 8.665414",
Goffstown / New Boston School District,"42.9693522, -71.69106599999999",
Golab - Gomining,Address not found,
Gold Medal Squared,Address not found,
Golden Apple Foundation,"41.8776543, -87.6499173",
Golden Eagle Charter School,"41.717747, -122.642592",
Golden Gate University,"37.7893349, -122.3988242",
Golden Gate University Law School,"37.7893878, -122.3991692",
Golden Valley School International,Address not found,
Golden Valley School Local,Address not found,
Golden West - Archive,Address not found,
Goldey-Beacom College,"39.7415725, -75.6895335",
Goldfarb School of Nursing at Barnes-Jewish College,"38.637259, -90.258622",
Goldman Sachs Corp,Address not found,
GoldMax,"12.9757409, 80.2181635",
Golf Academy of America,"32.9225519, -96.91756339999999",
Golisano Innovation Hub,Address not found,
Golisano Institute for Business and Entrepreneurship,"43.1138074, -77.6037029",
GoMcIntyre,Address not found,
Gonzaga College High School,"38.9021067, -77.0096466",
Gonzaga University,"47.6658548, -117.4021153",
Gonzales Adult School,"36.5103744, -121.4413651",
Gonzales Unified School District,"36.5086069, -121.422761",
Goochland County Public Schools,"37.74159969999999, -77.973865",
Good Foundations Academy - Utah,"41.1699833, -112.0071602",
Good Grief,Address not found,
Good Samaritan College of Nursing & Health Science,"39.140035, -84.5206726",
Good Samaritan Colleges,"15.4915065, 120.9739271",
Good Shepherd University,"-26.4693089, 31.9611112",
Goodheart-Willcox,Address not found,
Goodpasture Christian School,"36.2488191, -86.7391607",
Goodwill Technical College,"29.9643494, -90.10030739999999",
Goodwill-Easter Seals Minnesota,"44.969262, -93.153769",
Goodwin University,"41.7428973, -72.6404269",
Goose Creek Consolidated ISD,Address not found,
Gordon Bernell Charter School,"35.113211, -106.6463146",
Gordon-Conwell Theological Seminary,"42.6124501, -70.8450204",
Gordon-Rushville,"42.81280779999999, -102.2054672",
Gorman Learning Center,"34.0682544, -117.2170118",
Gorokan High School,"-33.2435702, 151.5079993",
GOSA,"32.84624, -87.86168049999999",
Goshen Community School District,"5.5779728, -0.1451736",
Goshen Community Schools,"41.5800861, -85.82550549999999",
Goshen County School District #1,"42.0334428, -104.3791912",
Gotham Writers Workshop,"40.7546385, -73.99205049999999",
Goucher College,"39.4089561, -76.5926303",
Gould Academy,"44.4061304, -70.7917152",
Gov. Morehead School (District),Address not found,
Government of the Northwest Territories,"63.588753, -115.5069381",
Governor Morehead School for the Blind,"35.7795639, -78.6589202",
Governors State University,"41.4483962, -87.71618629999999",
Gowrie Training & Consultancy,"-42.8929119, 147.3165249",
GowrieVICdemo,Address not found,
GPS,Address not found,
GPS Capital Markets,"40.5547168, -111.9124723",
Graafschap College,"51.9715812, 6.2870591",
Grace Christian College,"14.6503491, 121.0053073",
Grace Christian College Wodonga,"-36.1576067, 146.8876479",
Grace College and Seminary,"41.226354, -85.8178681",
Grace on Demand,Address not found,
Grace School of Theology,"30.1753778, -95.4794605",
Graceland University,"40.61636379999999, -93.9263079",
Gracelyn University,"32.8838182, -96.7691385",
Graceway,"39.0242797, -94.481724",
GRAD Partnership,Address not found,
Graded School,"-23.6291009, -46.7340576",
Gradient Learning,Address not found,
Graduate America,"32.953966, -96.848794",
Graduate Campus,"48.8382756, 10.0737909",
Graduate School of Banking,"43.1488091, -89.2929971",
Graduate School of Banking at LSU,"30.4102406, -91.18570590000002",
Graduate School USA,"38.8860557, -77.0210922",
Graduate Theological Foundation,Address not found,
Grady Municipal Schools,"34.8227958, -103.3186874",
Graeme Dingle Foundation,"-36.7393822, 174.7219962",
Grafisch Lyceum Rotterdam,"51.9274399, 4.477373099999999",
Graford ISD,"32.9344439, -98.352656",
Grafton Correctional,"41.2789787, -82.0281217",
Grafton School District,"43.3208822, -87.9409919",
Graham Hospital School of Nursing,"40.5529164, -90.0389246",
Grain Valley School District R-V,"39.0067556, -94.1820961",
Grainger County,"36.3059333, -83.54965659999999",
Grambling State University,"32.5197213, -92.7179736",
Granada Hills Charter,"34.262078, -118.5238237",
Granbury ISD,"32.4350116, -97.7416703",
Grand Circus Detroit LLC,"42.3364771, -83.0508383",
Grand County School District,"38.5692783, -109.5433864",
Grand Forks Public Schools,"47.87586779999999, -97.0632638",
Grand Island Public Schools,"40.9272015, -98.3636131",
Grand Mental Health,Address not found,
Grand Prairie ISD,"32.7267785, -96.9853474",
Grand Rapids Christian Schools,"42.9704146, -85.6721946",
Grand Rapids Community College,"42.96689680000001, -85.6667224",
Grand River Academy,"41.7725509, -80.8606987",
Grand Valley State University,"42.9641221, -85.8890404",
Grand View University - The Jacobson Institute,Address not found,
Grandtech Systems Limited - Channel Reseller,"22.291766, 114.208106",
Grandview C-4 School District,"38.887974, -94.5332013",
Grandview ISD,"32.262077, -97.177227",
Grandview School District,"38.2090375, -90.6962853",
Granger School District #204,Address not found,
Granite Falls School District,"48.0845265, -121.9634343",
Granite Mountain Charter School,"34.4101832, -116.9073863",
Granite State College,"43.1929168, -71.5272064",
Grant County ESD,"44.4384077, -118.8917326",
Grant Wood AEA,"41.9353135, -91.6750062",
Grants Pass School District #7,"42.4082974, -123.3530916",
Grants-Cibola County Schools (Lite),"35.1585564, -107.8468781",
Granville College,"49.2848664, -123.1167556",
Granville County Schools,"36.3258275, -78.5957719",
Grapevine-Colleyville ISD,"32.9015724, -97.0713572",
Grasslands - David Brown,Address not found,
Grasslands School Division,Address not found,
Gratz College,"40.0956004, -75.1259134",
Graves County School District,"36.7323058, -88.7493998",
Gray Stone Day,"35.4834493, -80.2761292",
Grays Harbor College,"46.9543914, -123.8036449",
Grayson College,"33.7050974, -96.63410449999999",
Grayson County,"33.7062406, -96.663812",
Grayson County Public Schools,"36.6721195, -81.20781640000001",
Great Basin College,"40.8425713, -115.7671347",
Great Basin Industrial,Address not found,
Great Commission Collective,"39.6646057, -86.0654667",
Great Falls College MSU,"47.4862261, -111.2699231",
Great Hearts Online,Address not found,
Great Lakes Helicopter,"43.4455184, -80.38847349999999",
Great Minds,"38.87603259999999, -77.0070375",
Great Minds Virtual,Address not found,
Great Oaks Career Centers,"39.28773950000001, -84.4157014",
Great Plains Tribal Chairmen's Health Board,"44.0595075, -103.1591424",
Great Revelations Academy,"42.3374307, -83.1661905",
Great Seal Network,Address not found,
Great Valley School District,"40.0347841, -75.5160235",
Great Western Academy,"39.9612056, -83.0899041",
Greater Albany Public School District 8J,"44.6298188, -123.0661639",
Greater Albany Public Schools,"44.6298188, -123.0661639",
Greater Altoona Career & Technology Center,"40.5082116, -78.3987449",
Greater Altoona Career and Technical Center,"40.5082116, -78.3987449",
Greater Atlanta Christian School,"33.91987, -84.1705545",
Greater Erie Community Action Committee,"42.1263453, -80.0840561",
Greater Jasper Consolidated Schools,"38.4052406, -87.0224442",
Greater Johnstown Career & Technology Center,"40.27265240000001, -78.8311827",
Greater Lehigh Valley Realtors,"40.6757935, -75.374466",
Greater Winston-Salem Inc.,"36.1015054, -80.2396515",
Green Bay Area Public School District (Root),"44.5123664, -87.913867",
Green Check Verified,"26.3413758, -81.8090356",
Green Country Technology Center,"35.632974, -95.93639999999999",
Green Fields Country Day School,"32.3161864, -111.0370258",
Green Flower Media Inc,Address not found,
Green Hills AEA,"41.2314184, -95.7137628",
Green Local Schools,"40.9468269, -81.49379929999999",
Green River College,"47.3131581, -122.1785746",
Green Space Learning,Address not found,
Greencastle Community Sch Corp,"39.0908849, -76.932749",
Greene Canvas,Address not found,
Greene County CSD,"42.0352785, -94.35651299999999",
Greene County Public Schools,"38.296778, -78.4415491",
Greene County Schools,"36.2669727, -82.8640623",
Greene County Tech School District,"36.0667334, -90.55488799999999",
Greeneville City School District - TN,"36.1722926, -82.815586",
Greenfield Union School District,"35.2692681, -118.9877942",
Greenfield-Central Community Schools,"39.8433286, -85.78716630000001",
Greenhill School,"32.941856, -96.84374129999999",
Greenhills School,"42.2853602, -83.6786389",
Greens Farms Academy,"41.1186928, -73.3149754",
Greensboro Islamic Academy,"36.108433, -79.7779513",
Greensburg Community High School,"39.3409772, -85.4684102",
Greensville County Public Schools,"36.6993201, -77.53593610000001",
Greentree Prep Charter School,"26.0402053, -80.3621702",
Greenville City Schools,"40.1157038, -84.61541369999999",
Greenville Health System,Address not found,
Greenville ISD,"33.1327118, -96.0891032",
Greenville Presbyterian Theological Seminary,"34.9204108, -82.29426289999999",
Greenville Public School District,"33.4002971, -91.04903739999999",
Greenwich Academy,"41.0416647, -73.6274972",
Greenwich Management College,Address not found,
Greenwood Charter School,"41.2745088, -111.979884",
Greenwood Community School District,"39.6183232, -86.1242881",
Grenada School District,"33.7516314, -89.81303559999999",
Gresham-Barlow School District,"45.4807671, -122.3625221",
GRID Alternatives,Address not found,
Griffeye,Address not found,
Griffin-Spalding County,"33.2467807, -84.2640904",
Griffin-Spalding Public Schools,"33.2467807, -84.2640904",
Griffith External,"-34.2886639, 146.0323982",
Griffith University,"-27.5530181, 153.0510796",
Grill'd,Address not found,
???,Address not found,
Grimke Seminary,"37.5452551, -77.4462522",
Grimsby Institute Group,"53.5535396, -0.092662",
Grinnell College,"41.749223, -92.7201302",
GRNSW,"-33.867479, 151.206172",
Groom Curriculum,Address not found,
Grosse Pointe Public Schools,"42.4387693, -82.89636039999999",
Grossmont-Cuyamaca Community College District,Address not found,
Groton School,"42.5934946, -71.5840156",
Grove City Christian School,"39.8662008, -83.0682483",
Grove City College,"41.1557924, -80.0815357",
Grow Your Mind,Address not found,
Grow.e,"34.6857973, 33.0616574",
Growing Forward Together,Address not found,
Grundy Center Community Schools,"42.3794739, -92.797901",
Grupo Anchieta,"-23.1938338, -46.8862113",
Grupo Athenas Educacional,"-8.746721299999999, -63.87723609999999",
Grupo Caelis,"-12.9831444, -38.5172496",
Grupo CCAA,Address not found,
Grupo Cemix - Additional Instance,Address not found,
Grupo Educacional Bom Jesus,Address not found,
Grupo Educacional Unis,"-22.3188536, -46.3250207",
Grupo Educativo Siglo XXI,"19.2759733, -99.719138",
Grupo Formosa,"-26.1857768, -58.1755669",
Grupo HNe,Address not found,
Grupo Protexa,Address not found,
GRUPO SÃO LUCAS EDUCACIONAL,"-8.7719247, -63.89558299999999",
Grupo SEB,Address not found,
Grupo Siglo 21,Address not found,
Grupo UniDom,"39.1513025, -0.4298977",
GT Educational Center,"41.8712447, -87.6247223",
Guardian Revival,"41.5029532, -73.96708439999999",
Guerin Catholic High School,"40.0102938, -86.0872041",
Guerrilla Education Design,"52.3715439, 4.891035500000001",
Guiding Eyes for the Blind,"41.2989051, -73.7950465",
Guild Education,"39.7437276, -104.9884576",
Guild House Tech,"39.9751103, -83.00295849999999",
Guilford College,"36.0941832, -79.88783459999999",
Guilford County Schools,"36.0899873, -79.8296743",
Guilford Technical Community College,"35.9981517, -79.9191627",
Gulf Coast Education Initiative Consortium,Address not found,
Gulf Coast State College,"30.1852849, -85.7287817",
Gulf Shores City Schools,"30.26965299999999, -87.6826399",
Gulfport School District,"30.3978662, -89.0657027",
Gurnick Academy,"37.3642546, -121.9129833",
Gustavus Adolphus College,"44.323803, -93.9757881",
Gutenberg Technology - Partner,Address not found,
Guthrie Center Community School District,"41.7084573, -94.6037231",
GVdasa,"-29.7817962, -51.1494514",
GWC,"33.7339347, -118.0033108",
Gwinnett College,"33.9013991, -84.12168659999999",
Gwinnett County Government Water Resources,"33.9498019, -83.98881589999999",
Gwinnett County Schools,"33.9190653, -84.01674229999999",
Gwinnett Technical College,"33.9626759, -84.0659464",
GWRSD - Kingswood Regional High School,"43.575827, -71.1886296",
Gwynedd Mercy Academy High School,"40.1964549, -75.24266779999999",
Gwynedd Mercy University,"40.1979262, -75.2368884",
GYE Zone,Address not found,
"Gymnastik- och idrottshögskolan, GIH","59.34668869999999, 18.0813386",
H-FARM College,"45.5674204, 12.4280632",
Hå Kommune,"58.57214729999999, 5.5450538",
University of Borås,"57.7251621, 12.9391892",
Högskolan i Gävle,"60.66786329999999, 17.1190478",
Högskolan i Skövde,"58.39416989999999, 13.8563157",
Hogskolan Kristianstad,"56.0484832, 14.1463248",
H?gskolan p? ?land,Address not found,
Högskolan Väst,"58.2832436, 12.2939585",
Østfold University College,"59.1292475, 11.3528033",
Högskolen i Innlandet,"61.13608190000001, 11.3739553",
Högskolen i Molde,"62.73659829999999, 7.1093192",
Høgskulen på Vestlandet,"60.3689499, 5.350094299999999",
Hälar University,Address not found,
Háskóli Íslands,"64.1394687, -21.9506398",
Høyskolen for ledelse og teologi,"59.9175553, 10.737297",
H.A.D Centre,Address not found,
Haarlem Institute for Higher Education,"52.3873878, 4.6462194",
Haas Digital,"52.1759932, 13.5821281",
Habib University,"24.9051573, 67.13758349999999",
Habitat for Humanity of Puerto Rico,"18.4388391, -66.0618571",
Hachette Mexico - Red Larousse,"23.634501, -102.552784",
Hacienda La Puente Adult Education,"34.0442617, -117.9798135",
Hacienda La Puente Unified,"34.0048538, -117.9600466",
HackLab FNESP,"43.6743899, -79.4583533",
Hackley School,"41.0695904, -73.8412614",
Haddonfield Borough,"39.8967563, -75.03190860000001",
Hagerman Municipal Schools (Lite),"33.1157495, -104.3559158",
Haileybury,"47.4463218, -79.6354588",
Half Hollow Hills Central School District,"40.7767336, -73.38265849999999",
Halifax Area School District,"40.4672632, -76.8490328",
Halifax Community College,"36.4271787, -77.6161437",
Halifax County Schools,"36.2837292, -77.79097759999999",
Halifax Regional Centre for Education,"44.701788, -63.58382179999999",
Hall County Schools,"34.303457, -83.7199136",
Hallmark University,"29.4668235, -98.6857448",
Hamad Bin Khalifa University,"25.3141314, 51.4323474",
Hamburg Community School District,"40.6378857, -95.6668306",
Hamdan Bin Mohammed Smart University,"25.1048702, 55.3924318",
Hamilton College,"43.0527984, -75.4059719",
Hamilton Community School District,Address not found,
Hamilton County,"39.2355447, -84.56414699999999",
Hamilton County School District,"35.1618966, -85.14793639999999",
Hamilton Education,"32.9236497, -117.2330669",
Hamilton Heights School Corp,"40.17838769999999, -85.9917437",
Hamilton Park Montessori School,"40.7269657, -74.0440673",
Hamilton Southeastern Schools,"40.0118483, -85.9100089",
Hamline Catalog,"44.9650421, -93.1644153",
Hamline University,"44.9650421, -93.1644153",
Hampden Charter School of Science,"42.1970253, -72.5633434",
Hampden Dubose Academy,"28.7415432, -81.60360229999999",
Hampden-Sydney College,"37.2409769, -78.45984159999999",
Hampshire College,"42.3256097, -72.5312799",
Hampshire Country School,"42.740854, -71.939519",
Hampton City Schools,"37.041999, -76.3868797",
Hampton Public Schools,"40.9102119, -97.8939317",
Hampton Township School District,"40.5913173, -79.95284509999999",
Hampton University,"37.0228392, -76.3343603",
Hancock Place,"35.9002188, -79.0063918",
"Hands & Voices, Inc.",Address not found,
Handshake Canvas,"51.501808, -0.08274949999999999",
Hanford Joint Union High School District,"36.3276502, -119.6572136",
Hanku,"29.1671136, 82.1931149",
Hannibal-LaGrange University,"39.729169, -91.3917889",
Hanover College,"38.7137524, -85.46023509999999",
Hanover Community School Corp,"41.3937315, -87.48020679999999",
Hanover County Public Schools,"37.7686589, -77.4751809",
Hanzehogeschool Groningen,"53.2401972, 6.531629799999999",
Haque Academy,"24.7779469, 67.06615479999999",
Harcole & Hunt LLC,Address not found,
Harcum College,"40.02090889999999, -75.3120975",
Hardin-Simmons University,"32.4768502, -99.7340564",
Harding Academy,"35.1016181, -89.914205",
Harding Academy of Memphis,"35.1016181, -89.914205",
Harding Charter Preparatory School District,"35.5737713, -97.49046469999999",
Harding University,"35.2458698, -91.72455980000001",
Harford Community College - Platform,"39.5601692, -76.2845403",
Harford County Public Schools,"39.5838964, -76.3637285",
Harkham GAON Academy,"34.0590383, -118.3889925",
Harlan Community School District,"41.653044, -95.32555409999999",
Harlingen CISD,"26.235568, -97.7199454",
Harmony Educational Services,"40.1599019, -111.6101601",
Harmony Health Care Institute,"42.8041142, -71.488281",
Harmony Public Schools,"29.7631595, -95.6202545",
Harney County School District,"43.1423225, -119.0116305",
Harney County School District 3,"43.5840369, -119.0644163",
Harney ESD,"43.5820844, -119.0733494",
Harper Rand,Address not found,
Harpeth Hall School,"36.0995968, -86.84007249999999",
Harris County Department of Education,"29.815855, -95.3606719",
Harris County Dept of Ed,"29.7751825, -95.3102505",
Harris Health System - Fournace Place,"29.7171863, -95.4631847",
Harris-Stowe State University,"38.631924, -90.224919",
Harrisburg School District 41-2,"43.42314520000001, -96.6851982",
Harrisburg School District 7J,"44.2553286, -123.0776058",
Harrisburg University,"40.2619419, -76.8803384",
Harrison College - Root,"39.7671779, -86.1476289",
Harrison School District,"36.1787153, -93.1378173",
Harrisonburg City Public Schools,"38.4257814, -78.8722341",
Harson University,"25.750425, -80.2459411",
HART - Hillsborough Transit Authority,Address not found,
Hart-Ransom Academic Charter School,"37.6665286, -121.064597",
Hartfield Academy,"32.3481521, -90.0487136",
Hartford Area Career and Technology Center,"43.6580758, -72.31940519999999",
Hartford International University for Religion and Peace,"41.7698571, -72.7077092",
Hartford Public School Dist.,"42.1917096, -86.15482689999999",
Hartford UHS School District,"43.2791469, -88.362785",
Hartington-Newcastle Public Schools,"42.6181737, -97.2005806",
Hartland College,"38.3333918, -78.0992661",
Hartland Consolidated Schools,"42.6758634, -83.7836403",
Hartlepool College of Further Education,"54.6840102, -1.2099615",
Hartnell College,"36.6736601, -121.6687681",
Harvard Business Publishing,Address not found,
Harvard Business School,"42.3661444, -71.1218276",
Harvard Business School-Dev,"42.3661444, -71.1218276",
Harvard CS50,"42.3744368, -71.1182488",
Harvard Ex Ed,Address not found,
Harvard Medical School Pre-College Online Certificate Program,"42.3356451, -71.104215",
Harvard Medical School Pre-Med Online Certificate Program,"42.3356451, -71.104215",
Harvard Public Schools,"40.6348595, -98.09017399999999",
Harvard University,"42.3744368, -71.1182488",
Harvard-Westlake School,"34.0876693, -118.4338455",
Harvest Christian Academy,"42.056359, -88.343961",
Harvest Time Ministries,"33.5470401, -82.1494774",
Harvey Mudd College,"34.1060906, -117.7086431",
Hastings College,"40.59067050000001, -98.3745939",
Hastings Public Schools,"40.583457, -98.385532",
Hatboro-Horsham SD,"40.1902818, -75.1662121",
Hatch Valley Public School District,"32.6671409, -107.149681",
Haverford School District,"39.9877992, -75.30623260000002",
Havergal College,"43.720253, -79.4134179",
Havergal College [EXPLORING],"43.720253, -79.4134179",
Hawai'i Pacific University,"21.3010484, -157.8622214",
Hawaii Department of Education,"19.5429151, -155.6658568",
Hawaii DPS: Corrections Program Services Education,"19.8986819, -155.6658568",
Hawaii Medical Institute,"19.8986819, -155.6658568",
Hawaii Pacific Univ. (MS Meds),"19.8986819, -155.6658568",
Hawaii School for the Deaf and Blind,"21.2732991, -157.8150628",
Hawaii Technology Academy,Address not found,
Hawaii Virtual Learning Network,"19.8986819, -155.6658568",
Hawken School,"41.5256827, -81.38554189999999",
Hawkeye Community College,"42.4303225, -92.32826469999999",
Hawkins County Schools,"36.5203273, -82.7778579",
Hawthorn Academy,"40.5864548, -111.9498737",
Hawthorn Middle School 73,Address not found,
Hawthorne Academy,"33.9304676, -118.3210911",
Hawthorne Math and Science Academy,"33.9202092, -118.3542854",
Hay Springs Public School,"42.6866745, -102.6881205",
Hays Unified School Dist 489,"38.9062422, -99.32292129999999",
Hazcon,"43.6496485, -79.37708959999999",
Hazelwood,"38.7714396, -90.3709489",
Hazlehurst City School District,"31.8593163, -90.3930079",
HBKU - EUP,Address not found,
HBO Academy,"51.8117654, 4.666131399999999",
HBS Executive Education,"42.3661444, -71.1218276",
HCI Group,Address not found,
HCT - Higher Colleges of Technology,"25.1104903, 55.3928964",
HCT Higher Colleges of Technology,"25.1104903, 55.3928964",
HCV Network,Address not found,
HCV Network Ltd,Address not found,
He is Me Institute,Address not found,
"Head Start C&FDP, Inc.","40.0203235, -98.0737893",
Head-Royce School,"37.8093823, -122.2039931",
Headspace,Address not found,
Healdsburg Unified School District,"38.6089783, -122.831015",
Healing Mountain Massage School,"40.7614385, -111.876278",
Health & Safety Advisory Service Pty Ltd,Address not found,
Health Career Institute,"27.5319145, -99.47578689999999",
Health Catalyst,Address not found,
Health Connected,Address not found,
Health Impact,Address not found,
"Health Information Project, Inc. (HIP)",Address not found,
Health Leadership High School,"35.1544973, -106.5946049",
Health Quality Innovators and MD Dept of Health,"39.0457549, -76.64127119999999",
Health Sciences Association of British Columbia,"49.2232187, -122.8927579",
Health Sciences High  and Middle College,"32.7500882, -117.1100633",
Health Security Partners,Address not found,
Healthcare Academy of California,"33.1906102, -117.2530019",
HealthCare Chaplaincy Network,Address not found,
Healthcare Training Institute,"40.6965484, -74.26827999999999",
Healthcare Training Institute (NJ),"40.6965484, -74.26827999999999",
HealthCert Education,"1.2797582, 103.8549316",
Healthstart Foundation Inc,"30.300459, -97.7353473",
Healthy NewsWorks,Address not found,
Healthy Schools LA,"30.5190775, -91.5208624",
Healthy Services,"33.9040936, -118.333642",
Heart of a Warrior,Address not found,
Heart Of Georgia Resa,"32.5303182, -82.9097293",
Heart of Mercia,Address not found,
Heartland AEA,Address not found,
Heartland Charter School,"35.3625102, -119.0604678",
Heartland Community College,"40.5334063, -89.01561989999999",
Heartland Community Schools,"40.7828683, -97.81026659999999",
Heartland Educational Consortium,"27.3185716, -81.3654313",
Heathdale Christian College,"-37.8795967, 144.6814407",
Heats University,Address not found,
Heavy Equipment Colleges of America,Address not found,
Heber Elementary School District,"32.7402807, -115.5088914",
Hebrew Academy of Long Beach,"40.6329214, -73.7267312",
Hebrew Roots University,"35.1791284, -80.92228589999999",
Hebrew Union College,"31.7761077, 35.2234421",
Hebron International College,"28.272744, -81.4228488",
HEC Lausanne,"46.5223323, 6.584319600000001",
HEC Montréal,"45.5035488, -73.6211174",
École des dirigeant(e)s HEC Montréal ,"45.5024229, -73.56427479999999",
HEH - Lincoln Uni,"53.228465, -0.5477958",
Heidelberg University,"49.41066, 8.706554299999999",
Heights Philadelphia,"39.9498816, -75.16355829999999",
Heilind Electronics,Address not found,
Helena College University of Montana,"46.5957471, -112.0163087",
Helena Public Schools,"46.6044703, -112.0178403",
Helene Fuld College of Nursing,"40.8040419, -73.9411715",
Helio,Address not found,
Helios Consulting,"25.0641917, 55.1380504",
Helios Defense Solutions,"39.40722239999999, -76.94448609999999",
Helium SEO,"39.2751513, -84.347293",
Helix Charter High School,"32.7542534, -117.0353479",
Hellenic College-Holy Cross Greek Orthodox School of Theology,"42.3172451, -71.12888029999999",
Hello Fresh USA,Address not found,
HELM,Address not found,
Helms College,"33.515248, -82.05786599999999",
Help to Grow: Management,"51.51111179999999, -0.09317080000000001",
Helping Hearts Training Center,"30.2262051, -81.5812673",
Helps Education Fund,"35.8088513, -78.6225844",
Hemet Unified School District,"33.6024023, -116.749645",
Hemingford Public Schools,"42.3462762, -103.0817903",
Henderson Collegiate,"36.3096121, -78.3969303",
Henderson Independent School District,"32.1335229, -94.6863782",
Henderson State University,"34.1299174, -93.06025729999999",
